version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 659949029828 eni-05a1ae44ffa237282 79.110.62.103 10.0.42.239 45357 56620 6 1 40 1724168117 1724168129 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 83.222.190.82 10.0.42.239 54546 50328 6 1 40 1724168117 1724168129 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 94.102.49.148 10.0.42.239 49322 29861 6 1 44 1724168117 1724168129 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.193 10.0.42.239 44269 22 6 308 36460 1724168117 1724168129 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.193 22 44269 6 408 133836 1724168117 1724168129 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 176.97.210.30 10.0.45.111 47729 7617 6 1 40 1724168168 1724168196 REJECT OK
2 659949029828 eni-0614c6b99754808d6 143.42.1.201 10.0.45.111 38535 8159 6 1 44 1724168168 1724168196 REJECT OK
2 659949029828 eni-0614c6b99754808d6 79.110.62.137 10.0.45.111 45366 53291 6 1 40 1724168168 1724168196 REJECT OK
2 659949029828 eni-0614c6b99754808d6 74.6.168.73 10.0.45.111 123 55944 17 1 76 1724168168 1724168196 REJECT OK
2 659949029828 eni-0614c6b99754808d6 62.122.184.74 10.0.45.111 44688 4935 6 1 40 1724168168 1724168196 REJECT OK
2 659949029828 eni-0614c6b99754808d6 192.48.105.15 10.0.45.111 123 33068 17 1 76 1724168168 1724168196 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 64.62.197.66 10.0.42.239 43377 61616 6 1 40 1724168177 1724168189 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.193 10.0.42.239 44269 22 6 12 1128 1724168177 1724168189 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.193 22 44269 6 11 1356 1724168177 1724168189 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 46.101.220.49 10.0.42.239 33324 944 6 1 60 1724168177 1724168189 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.194 10.0.42.239 4684 22 6 2 156 1724168221 1724168237 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 79.110.62.103 10.0.42.239 45357 61895 6 1 40 1724168221 1724168237 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.192 10.0.42.239 32221 22 6 5 244 1724168221 1724168237 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.194 22 4684 6 1 80 1724168221 1724168237 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 192.155.84.194 10.0.42.239 35496 2202 6 1 44 1724168221 1724168237 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.192 22 32221 6 4 257 1724168221 1724168237 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 74.6.168.73 55944 123 17 1 76 1724168200 1724168221 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 192.48.105.15 33068 123 17 1 76 1724168200 1724168221 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 120.25.127.80 10.0.45.111 40896 22 6 1 60 1724168200 1724168221 REJECT OK
2 659949029828 eni-0614c6b99754808d6 85.209.176.4 10.0.45.111 34383 8728 6 1 40 1724168200 1724168221 REJECT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.192 10.0.45.111 23081 22 6 2 156 1724168200 1724168221 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.193 22 28742 6 9 1156 1724168200 1724168221 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 64.186.96.3 10.0.45.111 123 51258 17 1 76 1724168200 1724168221 REJECT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.193 10.0.45.111 28742 22 6 7 720 1724168200 1724168221 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 194.26.29.199 10.0.45.111 50980 3621 6 1 40 1724168200 1724168221 REJECT OK
2 659949029828 eni-0614c6b99754808d6 45.249.246.17 10.0.45.111 38290 8434 6 1 60 1724168200 1724168221 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.192 22 23081 6 1 80 1724168200 1724168221 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 83.222.190.122 10.0.45.111 42764 3845 6 1 40 1724168200 1724168221 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.194 22 14008 6 4 237 1724168231 1724168254 ACCEPT OK
